membership_id,first_name,last_name,email,mobile_no,date_of_birth,above_18,filename,badRecord,comments
Gonzalez_345f8,Sherry,Gonzalez,Sherry_Gonzalez@caldwell.biz,66744895,19730314,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <14-03-1973> formatted as <1973-03-14> | email validation Success
Brown_e4d2b,David,Brown,David_Brown@jackson-smith.biz,69082983,20010922,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <2001-09-22> formatted as <2001-09-22> | email validation Success
Knight_8ce7c,Billy,Knight,Billy_Knight@thomas.biz,4983 3743,19550127,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <01/27/1955> formatted as <1955-01-27> | email validation Success
Zimmerman_3bb25,Lori,Zimmerman,Lori_Zimmerman@smith-bradley.biz,14572007,19980217,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1998-02-17> formatted as <1998-02-17> | email validation Success
Bradford_d831f,Evan,Bradford,Evan_Bradford@may.biz,28249239,19551101,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1955/11/01> formatted as <1955-11-01> | email validation Success
Weaver_feb81,Jennifer,Weaver,Jennifer_Weaver@patterson.com,74152151,19781015,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <15-10-1978> formatted as <1978-10-15> | email validation Success
Ortega_17e39,Timothy,Ortega,Timothy_Ortega@ramos.com,5931 2963,19980104,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <01/04/1998> formatted as <1998-01-04> | email validation Success
Smith_8b9ee,Amber,Smith,Amber_Smith@ho.biz,54476327,19681229,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1968/12/29> formatted as <1968-12-29> | email validation Success
Hamilton_f2276,Leonard,Hamilton,Leonard_Hamilton@brown.com,76082775,19880229,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1988-02-29> formatted as <1988-02-29> | email validation Success
Phillips_608c9,Kathy,Phillips,Kathy_Phillips@floyd.com,57829247,19841216,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <16-12-1984> formatted as <1984-12-16> | email validation Success
Simmons_cd946,Danny,Simmons,Danny_Simmons@morales.com,2631 3911,19631013,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <10/13/1963> formatted as <1963-10-13> | email validation Success
Jimenez_5ed59,Jennifer,Jimenez,Jennifer_Jimenez@morgan.com,59592559,19921121,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1992-11-21> formatted as <1992-11-21> | email validation Success
Howell_f9406,John,Howell,John_Howell@sims.biz,7727 5467,19590821,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <08/21/1959> formatted as <1959-08-21> | email validation Success
Combs_37075,Wesley,Combs,Wesley_Combs@bright-zimmerman.biz,43019751,19651230,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1965-12-30> formatted as <1965-12-30> | email validation Success
Lawson_c755d,Victoria,Lawson,Victoria_Lawson@snyder.com,24045823,19541204,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <12-04-1954> formatted as <1954-12-04> | email validation Success
Sullivan_61495,Samantha,Sullivan,Samantha_Sullivan@cunningham-williams.com,6491 3455,19600423,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <04/23/1960> formatted as <1960-04-23> | email validation Success
Jones_f903f,Paul,Jones,Paul_Jones@clark-irwin.com,91301999,19940215,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1994/02/15> formatted as <1994-02-15> | email validation Success
Tran_40aaa,Danielle,Tran,Danielle_Tran@mann.com,85246679,19880826,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1988-08-26> formatted as <1988-08-26> | email validation Success
Roy_57ef7,Elijah,Roy,Elijah_Roy@jones-baldwin.com,57159015,19870705,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1987/07/05> formatted as <1987-07-05> | email validation Success
Simpson_7383f,Courtney,Simpson,Courtney_Simpson@preston-cantrell.com,77314887,19731103,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1973-11-03> formatted as <1973-11-03> | email validation Success
Hopkins_56d12,Kimberly,Hopkins,Kimberly_Hopkins@adams.com,67364511,19931022,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1993-10-22> formatted as <1993-10-22> | email validation Success
King_4ae33,William,King,William_King@cline-allen.com,21561215,19841115,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <15-11-1984> formatted as <1984-11-15> | email validation Success
Robertson_c09d4,Stephanie,Robertson,Stephanie_Robertson@owen-rodriguez.com,75259367,20020805,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <08-05-2002> formatted as <2002-08-05> | email validation Success
Hill_bd6cc,Rickey,Hill,Rickey_Hill@parker-cohen.com,56465207,19640430,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <1964-04-30> formatted as <1964-04-30> | email validation Success
Stewart_40f40,Erika,Stewart,Erika_Stewart@solis.com,83552695,19851226,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,false,mobile_no validation Success | date value <26-12-1985> formatted as <1985-12-26> | email validation Success
